Position,Surfer
1,Gabriel Medina
2,Julian Wilson
3,Filipe Toledo
4,Italo Ferreira
5,Jordy Smith
6,Owen Wright
7,Conner Coffin
8,Michel Bourez
9,Wade Carmichael
10,Kanoa Igarashi
11,Kolohe Andino
12,Mikey Wright
13,Willian Cardoso
14,Sebastian Zietz
15,Michael Rodrigues
16,Jérémy Florès
17,Adrian Buchan
18,Griffin Colapinto
19,Ezekiel Lau
20,Yago Dora
21,Joan Duru
22,Frederico Morais
23,Joel Parkinson
24,Matt Wilkinson
25,Connor O'Leary
26,Tomas Hermes
27,Jesse Mendes
28,Patrick Gudauskas
29,Kelly Slater
30,Ryan Callinan
31,Michael February
32,Miguel Pupo
33,Keanu Asing
35,Caio Ibelli
36,Seth Moniz
37,Samuel Pupo
38,Benji Brand
