Round,Heat,Surfer 1,Surfer 2,Surfer 3,Winner of Heat,Wave Size
1,1,Jordy Smith,Kelly Slater,Frederico Morais,Jordy Smith,4-6'
1,2,Yago Dora,Owen Wright,Miguel Pupo,Yago Dora,4-6'
1,3,Italo Ferreira,Joan Duru,Keanu Asing,Italo Ferriera,4-6'
1,4,Matt Wilkinson,Filipe Toledo,Caio Ibelli,Matt Wilkinson,4-6'
1,5,Julian Wilson,Tomas Hermes,Seth Moniz,Julian Wilson,4-6'
1,6,Gabriel Medina,Connor O'Leary,Benji Brand,Gabriel Medina,4-6'
1,7,Ryan Callinan,Wade Carmichael,Griffin Colapinto,Griffin Colapinto,4-6'
1,8,Kanoa Igarashi,Michael February,Sebastian Zietz,Michael February,4-6'
1,9,Michel Bourez,Michel Bourez,Ezekiel Lau,Michel Bourez,4-6'
1,10,Jesse Mendes,Conner Coffin,Jeremy Flores,Conner Coffin,4-6'
1,11,Kolohe Andino,Adrian Buchan,Joel Parkinson,Joel Parkinson,4-6'
1,12,Michael Rodrigues,Patrick Gudauskas,Willian Cardoso,Michael Rodrigues,4-6'
2,1,Filipe Toledo,Benji Brand,,Filipe Toledo,8-10+'
2,2,Owen Wright,Seth Moniz,,Seth Moniz,8-10+'
2,3,Wade Carmichael,Caio Ibelli,,Wade Carmichael,8-10+'
2,4,Kanoa Igarashi,Keanu Asing,,Kanoa Igarashi,8-10+'
2,5,Miguel Pupo,Kolohe Andino,,Miguel Pupo,8-10+'
2,6,Kelly Slater,Willian Cardoso,,Kelly Slater,8-10+'
2,7,Ryan Callinan,Adrian Buchan,,Ryan Callinan,8-10+'
2,8,Jeremy Flores,Ian Gouveia,,Jeremy Flores,8-10+'
2,9,Jesse Mendes,Ezekiel Lau,,Jesse Mendes,8-10+'
2,10,Sebastian Zietz,Patrick Gudauskas,,Sebastian Zietz,8-10+'
2,11,Connor O'Leary,Frederico Morais,,Connor O'Leary,8-10+'
2,12,Joan Duru,Tomas Hermes,,Joan Duru,8-10+'
3,1,Ryan Callinan,Italo Ferreira,,Ryan Callinan,8-10+'
3,2,Jordy Smith,Michael February,,Jordy Smith,8-10+'
3,3,Conner Coffin,Matt Wilkinson,,Conner Coffin,8-10+'
3,4,Michel Bourez,Connor O'Leary,,Michel Bourez,8-10+'
3,5,Sebastian Zietz,Griffin Colapinto,,Sebastian Zietz,8-10+'
3,6,Gabriel Medina,Seth Moniz,,Gabriel Medina,8-10+'
3,7,Yago Dora,Jeremy Flores,,Yago Dora,8-10+'
3,8,Julian Wilson,Miguel Pupo,,Julian Wilson,8-10+'
3,9,Joel Parkinson,Kanoa Igarashi,,Joel Parkinson,8-10+'
3,10,Jesse Mendes,Wade Carmichael,,Jesse Mendes,8-10+'
3,11,Joan Duru,Michael Rodrigues,,Joan Duru,8-10+'
3,12,Kelly Slater,Filipe Toledo,,,8-10+'
4,1,Jordy Smith,Conner Coffin,Ryan Callinan,Jordy Smith,6-8'
4,2,Gabriel Medina,Sebastian Zietz,Michel Bourez,Gabriel Medina,6-8'
4,3,Yago Dora,Julian Wilson,Joel Parkinson,Yago Dora,6-8'
4,4,Joan Duru,Kelly Slater,Jesse Mendes,Joan Duru,6-8'
Quarters,1,Jordy Smith,Sebastian Zietz,,Jordy Smith,6-8'
Quarters,2,Gabriel Medina,Conner Coffin,,Gabriel Medina,6-8'
Quarters,3,Yago Dora,Kelly Slater,,Kelly Slater,6-8'
Quarters,4,Julian Wilson,Joan Duru,,Julian Wilson,6-8'
Semis,1,Jordy Smith,Gabriel Medina,,Gabriel Medina,6-8'
Semis,2,Julian Wilson,Kelly Slater,,Julian Wilson,6-8'
Finals,1,Gabriel Medina,Julian Wilson,,Gabriel Medina,6-8'
